2026-04-22 16:09:07,460 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=5000, chunk_rows=1000
2026-04-22 16:09:08,119 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:08,121 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=6000, chunk_rows=1000
2026-04-22 16:09:08,827 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:08,827 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=7000, chunk_rows=1000
2026-04-22 16:09:09,475 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:09,476 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=8000, chunk_rows=1000
2026-04-22 16:09:10,166 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:10,166 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=9000, chunk_rows=1000
2026-04-22 16:09:10,805 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:10,810 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=10000, chunk_rows=1000
2026-04-22 16:09:11,490 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:11,490 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=11000, chunk_rows=1000
2026-04-22 16:09:12,134 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:12,135 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=12000, chunk_rows=1000
2026-04-22 16:09:12,766 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:12,766 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=13000, chunk_rows=1000
2026-04-22 16:09:13,478 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:13,479 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=14000, chunk_rows=1000
2026-04-22 16:09:14,125 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:14,126 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=15000, chunk_rows=1000
2026-04-22 16:09:14,860 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:14,860 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=16000, chunk_rows=1000
